timestamp,open,high,low,close,volume
2024-06-03 04:00:00,191.5706,192.2575,191.5706,191.6403,3376
2024-06-03 04:01:00,191.6403,191.8095,191.6403,191.72,1028
2024-06-03 04:02:00,191.72,191.8991,191.72,191.8195,6174
2024-06-03 04:03:00,191.8792,191.8991,191.7797,191.8593,2982
2024-06-03 04:04:00,191.8892,192.1679,191.8892,192.1679,13024
2024-06-03 04:05:00,192.2177,192.4267,192.1579,192.2674,6049
2024-06-03 04:06:00,192.2774,192.3172,192.148,192.1978,1651
2024-06-03 04:07:00,192.148,192.2774,192.148,192.2077,558
2024-06-03 04:08:00,192.1679,192.2177,192.148,192.2177,2964
2024-06-03 04:09:00,192.2077,192.2077,192.0186,192.0186,3623
2024-06-03 04:10:00,192.0285,192.0385,191.9887,192.0285,970
2024-06-03 04:11:00,192.0285,192.0385,191.9589,191.9987,3036
2024-06-03 04:12:00,191.9688,192.0086,191.9589,191.9688,6037
2024-06-03 04:13:00,191.9688,192.0684,191.9091,192.0684,1866
2024-06-03 04:15:00,192.0285,192.0684,191.9589,192.0086,1187
2024-06-03 04:16:00,192.0086,192.0285,191.9589,192.0285,202
2024-06-03 04:17:00,192.0285,192.0783,191.9589,192.0684,547
2024-06-03 04:18:00,192.0684,192.0684,192.0285,192.0684,41
2024-06-03 04:19:00,192.0684,192.0684,192.0186,192.0186,252
2024-06-03 04:20:00,191.9688,192.0186,191.9589,191.9688,210
2024-06-03 04:21:00,192.0086,192.0186,192.0086,192.0186,346
2024-06-03 04:22:00,192.0186,192.0186,191.9589,192.0086,199
2024-06-03 04:23:00,192.0086,192.0186,191.9589,191.9589,592
2024-06-03 04:24:00,191.9688,192.0285,191.9688,192.0285,152
2024-06-03 04:25:00,192.0086,192.0484,191.9887,192.0484,591
2024-06-03 04:26:00,191.9887,192.0484,191.9887,192.0086,416
2024-06-03 04:27:00,191.9987,192.0186,191.9987,192.0086,24
2024-06-03 04:28:00,191.9987,191.9987,191.9987,191.9987,1
2024-06-03 04:29:00,191.9887,192.0086,191.9688,191.9688,376
